"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36041","@regression C5883872: Verify unique credential ID validation","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C5883872-verify-unique-credential-id-validation.spec.ts","",""
"","16942","@smoke @regression C21852433: Verify Import Categories flow, CSV sample download, column sorting, and pagination controls","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852433-verify-import-categories-flow-csv-sample-download-column-sorting-and-pagination-controls.spec.ts","",""
"","13658","@regression C54133: Verify mandatory field validations when saving a credential without required details","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C54133-verify-mandatory-field-validations-when-saving-credential-without-required-details.spec.ts","",""
"","47999","@regression C7106606: Verify credential types","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C7106606-verify-credential-types.spec.ts","",""
"","31607","@smoke @regression C54659: Verify in-use credential cannot be deleted","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C54659-verify-in-use-credential-cannot-be-deleted.spec.ts","",""
"","32061","@smoke @regression C22181792: Verify State / Province is optional when creating a regular credential","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C22181792-verify-state-province-is-optional-for-regular-credentials.spec.ts","",""
"","95850","@smoke @regression C22779515: Verify apparatus can be created successfully with required fields","chromium","2026-09-15","failed","2026-09-15","Apparatus","apparatus/C22779515-verify-apparatus-can-be-created-successfully-with-required-fields.spec.ts","",""
"","21668","@smoke @regression C21852431: Verify user can edit an existing category and persist changes from the grid","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852431-verify-user-can-edit-an-existing-category-and-persist-changes-from-the-grid.spec.ts","",""
"","32682","@smoke @regression C22181793: Verify State / Province is optional when creating a credential from Setup","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C22181793-verify-state-province-is-optional-when-creating-credential-from-setup.spec.ts","",""
"","39013","@smoke @regression C52165: Verify duplicate credential name validation on create","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C52165-verify-duplicate-credential-name-validation-on-create.spec.ts","",""
"","15161","@regression C22680549: Verify Import Categories rejects non-CSV and oversized files","chromium","2026-09-15","failed","2026-09-15","Training setup categories","training-setup/categories/C22680549-verify-import-categories-rejects-non-csv-and-oversized-files.spec.ts","",""
"","38006","@regression C5911763: Verify filters in Training > Credentials","chromium","2026-09-15","failed","2026-09-15","Credentials filters","credentials/C5911763-verify-filters-in-training-credentials.spec.ts","",""
"","69793","@smoke @regression C22670976: Verify View row action opens credential details page","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670976-verify-view-row-action-opens-credential-details-page.spec.ts","",""
"","66180","@regression C22181794: Verify imported Global Credential does not require State / Province at agency level","chromium","2026-09-15","passed","2026-09-15","Credentials","credentials/C22181794-verify-imported-global-credential-does-not-require-state-province-at-agency-level.spec.ts","",""
"","61426","@smoke @regression C58113: Verify second edit of credential in Personnel updates correctly","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58113-verify-second-edit-of-credential-in-personnel-updates-correctly.spec.ts","",""
"","31014","@smoke @regression C7135673: Verify clone action duplicates a credential successfully","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C7135673-verify-clone-action-duplicates-a-credential-successfully.spec.ts","",""
"","69839","@smoke @regression C22682822: Verify View opens In Progress credential renewal details with progress hours","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22682822-verify-view-opens-in-progress-credential-renewal-details-with-progress-hours.spec.ts","",""
"","69776","@smoke @regression C22181795: Verify Global Credential can be imported successfully from Super Admin to Agency Credentials","chromium","2026-09-15","passed","2026-09-15","Credentials","credentials/C22181795-verify-global-credential-can-be-imported-from-super-admin-to-agency-credentials.spec.ts","",""
"","20602","@regression C21852432: Verify category name search matches results, Reset restores defaults, and select-all toggles row selection","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852432-verify-category-name-search-matches-results-reset-restores-defaults-and-select-all-toggles-row-selection.spec.ts","",""
"","69575","@regression C22670974: Verify column visibility can be managed on My Credentials grid","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670974-verify-column-visibility-can-be-managed-on-my-credentials-grid.spec.ts","",""
"","8991","@smoke @regression C21852428: Verify Training setup Categories page renders filters, grid, toolbar, and vertical setup navigation","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852428-verify-training-setup-categories-page-renders-filters-grid-toolbar-and-vertical-setup-navigation.spec.ts","",""
"","25909","@regression C22181791: Verify State / Province is mandatory for Global Credentials when TRN-1853 is enabled","chromium","2026-09-15","passed","2026-09-15","Credentials","credentials/C22181791-verify-state-province-is-mandatory-for-global-credentials.spec.ts","",""
"","11889","@smoke @regression C58123: Create Qualifier","chromium","2026-09-15","passed","2026-09-15","Scheduling setup qualifiers","scheduling-setup/qualifiers/C58123-create-qualifier.spec.ts","",""
"","62818","@regression C5701947: Verify filters in Credentials - Personnel","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C5701947-verify-filters-in-credentials-personnel.spec.ts","",""
"","9159","@smoke @regression C21852429: Validate blank name shows validation when attempting to create a category","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852429-validate-blank-name-shows-validation-when-attempting-to-create-a-category.spec.ts","",""
"","27311","@regression C10485260: Verify autogenerate toggle for same credential type across different clients","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C10485260-verify-autogenerate-toggle-for-same-credential-type-across-different-clients.spec.ts","",""
"","69899","@regression C22670978: Validate required field errors display on Upload External Credential submission","chromium","2026-09-15","failed","2026-09-15","My Credentials - Upload External Credential","my-credentials/C22670978-validate-required-field-errors-display-on-upload-external-credential-submission.spec.ts","",""
"","56108","@regression C52162: Verify credential status in Personnel matches Training Credentials","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C52162-verify-credential-status-in-personnel-matches-training-credentials.spec.ts","",""
"","10478","@smoke @regression C7283439: Verify autogenerate toggle for credential ID during credential creation","chromium","2026-09-15","passed","2026-09-15","Credentials","credentials/C7283439-verify-autogenerate-toggle-for-credential-id-during-credential-creation.spec.ts","",""
"","58582","@regression C58129: Verify personnel removal from Admin Users reflects in Credentials","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58129-verify-personnel-removal-from-admin-users-reflects-in-credentials.spec.ts","",""
"","69845","@smoke @regression C22670969: Verify My Credentials page loads successfully","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670969-verify-my-credentials-page-loads-successfully.spec.ts","",""
"","17595","@smoke @regression C21852430: Verify user can add a category with a required name and optional associations","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852430-verify-user-can-add-a-category-with-a-required-name-and-optional-associations.spec.ts","",""
"","60270","@regression C58111: Verify credential date range displays correctly in Personnel","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58111-verify-credential-date-range-displays-correctly-in-personnel.spec.ts","",""
"","27833","@smoke @regression C5877540: Verify user can add an organization division","chromium","2026-09-15","failed","2026-09-15","Agency setup organization","agency-setup/organization/C5877540-verify-user-can-add-an-organization-division.spec.ts","",""
"","69570","@regression C22670975: Verify saved views options are available on My Credentials page","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670975-verify-saved-views-options-are-available-on-my-credentials-page.spec.ts","",""
"","35426","@smoke @regression C54657: Verify bulk delete removes multiple unused credentials","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C54657-verify-bulk-delete-removes-multiple-unused-credentials.spec.ts","",""
"","77520","@regression C22682823: Verify Progress column displays completion percentage for credentials with requirements","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22682823-verify-progress-column-displays-completion-percentage-for-credentials-with-requirements.spec.ts","",""
"","35451","@smoke @regression C54656: Verify single unused credential can be deleted","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C54656-verify-single-unused-credential-can-be-deleted.spec.ts","",""
"","69722","@regression C22670970: Verify status tabs filter credentials on My Credentials page","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670970-verify-status-tabs-filter-credentials-on-my-credentials-page.spec.ts","",""
"","35322","@smoke @regression C22682824: Verify User can submit Upload External Credential with valid required fields","chromium","2026-09-15","failed","2026-09-15","My Credentials - Upload External Credential","my-credentials/C22682824-verify-user-can-submit-upload-external-credential-with-valid-required-fields.spec.ts","",""
"","9507","C45059: Create/Edit Station Groups","chromium","2026-09-15","passed","2026-09-15","Asset management setup location groups","asset-management-setup/location-groups/C45059-create-edit-station-groups.spec.ts","",""
"","69416","@regression C22670979: Verify Download CSV option is available on My Credentials grid","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670979-verify-download-csv-option-is-available-on-my-credentials-grid.spec.ts","",""
"","27297","@smoke @regression C5877541: Verify user can add an organization shift","chromium","2026-09-15","failed","2026-09-15","Agency setup organization","agency-setup/organization/C5877541-verify-user-can-add-an-organization-shift.spec.ts","",""
"","31469","@smoke @regression C58122: Verify credential log can be removed from Personnel","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58122-verify-credential-log-can-be-removed-from-personnel.spec.ts","",""
"","42728","@smoke @regression C52161: Verify Credential Added in Training Appears in Personnel","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C52161-verify-credential-added-in-training-appears-in-personnel.spec.ts","",""
"","69612","@regression C22670973: Verify filter panel applies filters on My Credentials grid","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670973-verify-filter-panel-applies-filters-on-my-credentials-grid.spec.ts","",""
"","63620","@smoke @regression C58112: Verify first edit of credential in Personnel updates correctly","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58112-verify-first-edit-of-credential-in-personnel-updates-correctly.spec.ts","",""
"","69883","@regression C22682821: Verify My Credentials grid columns can be sorted","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22682821-verify-my-credentials-grid-columns-can-be-sorted.spec.ts","",""
"","17536","@smoke @regression C21852434: Verify deactivate, delete confirmation cancel, and bulk delete affordance on category rows","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852434-verify-deactivate-delete-confirmation-cancel-and-bulk-delete-affordance-on-category-rows.spec.ts","",""
"","0","@regression C22682825: Verify My Credentials shows only assigned user records after enabling Fire Department credential permissions and assigning users","chromium","2026-09-15","skipped","2026-09-15","My Credentials","my-credentials/C22682825-verify-my-credentials-shows-only-assigned-user-records-after-enabling-fire-department-credential-permissions-and-assigning-users.spec.ts","",""
"","96221","@smoke @regression C5877543: Verify user can add an organization position","chromium","2026-09-15","failed","2026-09-15","Agency setup organization","agency-setup/organization/C5877543-verify-user-can-add-an-organization-position.spec.ts","",""
"","38122","@smoke @regression C52164: Verify user can edit an existing credential successfully","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C52164-verify-user-can-edit-an-existing-credential-successfully.spec.ts","",""
"","28192","@regression C22181796: Verify validation messages when saving a credential with empty mandatory fields","chromium","2026-09-15","failed","2026-09-15","Credentials","credentials/C22181796-verify-validation-messages-when-saving-credential-with-empty-mandatory-fields.spec.ts","",""
"","12375","@smoke @regression C2796236: Create Group with toggle ""show on shift board"" ON","chromium","2026-09-15","passed","2026-09-15","Scheduling setup groups","scheduling-setup/groups/C2796236-create-group-with-show-on-shift-board-on.spec.ts","",""
"","69625","@smoke @regression C22670971: Verify My Credentials grid displays all expected columns","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670971-verify-my-credentials-grid-displays-all-expected-columns.spec.ts","",""
"","69826","@regression C22682820: Verify search with no matching credentials displays empty state","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22682820-verify-search-with-no-matching-credentials-displays-empty-state.spec.ts","",""
"","69806","@smoke @regression C22670977: Verify Upload External Credential modal opens with required fields","chromium","2026-09-15","failed","2026-09-15","My Credentials - Upload External Credential","my-credentials/C22670977-verify-upload-external-credential-modal-opens-with-required-fields.spec.ts","",""
